zip,type,primary_city,state,county,timezone,area_codes,latitude,longitude,irs_estimated_population
98002,STANDARD,Auburn,WA,King County,America/Los_Angeles,253,47.31,-122.22,32510
98003,STANDARD,Federal Way,WA,King County,America/Los_Angeles,253,47.3,-122.31,43710
98004,STANDARD,Bellevue,WA,King County,America/Los_Angeles,425,47.61,-122.21,33340
98005,STANDARD,Bellevue,WA,King County,America/Los_Angeles,425,47.62,-122.16,19190
98006,STANDARD,Bellevue,WA,King County,America/Los_Angeles,425,47.55,-122.14,39810
98007,STANDARD,Bellevue,WA,King County,America/Los_Angeles,425,47.62,-122.14,25550
98008,STANDARD,Bellevue,WA,King County,America/Los_Angeles,425,47.6,-122.11,25070
98010,STANDARD,Black Diamond,WA,King County,America/Los_Angeles,360,47.32,-121.99,6190
98011,STANDARD,Bothell,WA,King County,America/Los_Angeles,425,47.74,-122.2,24640
98012,STANDARD,Bothell,WA,Snohomish County,America/Los_Angeles,425,47.84,-122.19,69490
98014,STANDARD,Carnation,WA,King County,America/Los_Angeles,425,47.64,-121.89,7260
98019,STANDARD,Duvall,WA,King County,America/Los_Angeles,425,47.73,-121.93,12300
98020,STANDARD,Edmonds,WA,Snohomish County,America/Los_Angeles,425,47.8,-122.37,19670
98021,STANDARD,Bothell,WA,Snohomish County,America/Los_Angeles,425,47.79,-122.2,32480
98022,STANDARD,Enumclaw,WA,King County,America/Los_Angeles,360,47.1,-121.6,21910
98023,STANDARD,Federal Way,WA,King County,America/Los_Angeles,253,47.3,-122.37,47140
98024,STANDARD,Fall City,WA,King County,America/Los_Angeles,425,47.58,-121.88,5200
98026,STANDARD,Edmonds,WA,Snohomish County,America/Los_Angeles,425,47.84,-122.33,35590
98027,STANDARD,Issaquah,WA,King County,America/Los_Angeles,425,47.5,-122,28320
98028,STANDARD,Kenmore,WA,King County,America/Los_Angeles,425,47.75,-122.24,22610
98029,STANDARD,Issaquah,WA,King County,America/Los_Angeles,425,47.55,-122,29160
98030,STANDARD,Kent,WA,King County,America/Los_Angeles,253,47.36,-122.19,34470
98031,STANDARD,Kent,WA,King County,America/Los_Angeles,"425,253",47.4,-122.19,39930
98032,STANDARD,Kent,WA,King County,America/Los_Angeles,"253,425",47.39,-122.26,33070
98033,STANDARD,Kirkland,WA,King County,America/Los_Angeles,"206,425",47.67,-122.18,38470
98034,STANDARD,Kirkland,WA,King County,America/Los_Angeles,"425,206",47.72,-122.2,46350
98036,STANDARD,Lynnwood,WA,Snohomish County,America/Los_Angeles,425,47.8,-122.28,37780
98037,STANDARD,Lynnwood,WA,Snohomish County,America/Los_Angeles,425,47.84,-122.29,26370
98038,STANDARD,Maple Valley,WA,King County,America/Los_Angeles,425,47.4,-121.99,36270
98039,STANDARD,Medina,WA,King County,America/Los_Angeles,,47.62,-122.23,3070
98040,STANDARD,Mercer Island,WA,King County,America/Los_Angeles,,47.56,-122.22,25510
