ZipCode,City,State,HomeSale,HomeBaseValue,HomeMaxValue,MedianListPrice,MedianSoldPrice,Year
11415, Kew Gardens, NY,114,135000,3000000,310000,378500,2022
11416, Ozone Park, NY,44,199000,2600000,730000,910000,2022
11417, Ozone Park, NY,79,300000,1600000,715000,725000,2022
11418, Richmond Hill, NY,111,199000,3200000,599000,429000,2022
11419, South Richmond Hill, NY,77,350000,1700000,699000,751500,2022
11420, South Ozone Park, NY,113,30000,2000000,699000,670000,2022
11421, Woodhaven, NY,143,165000,7000000,655000,670000,2022
11422, Rosedale, NY,71,189900,1700000,660000,650000,2022
11423, Hollis, NY,71,155000,3900000,745000,775000,2022
11426, Bellerose, NY,74,189000,1300000,749000,675000,2022
11427, Queens Village, NY,87,140000,2600000,767400,602000,2022
11428, Queens Village, NY,44,300000,1400000,734500,752500,2022
11429, Queens Village, NY,74,75000,1500000,695000,735000,2022
11432, Jamaica, NY,152,89000,15000000,769000,155000,2022
11433, Jamaica, NY,100,4500,2500000,675000,670000,2022
11434, Jamaica, NY,176,9500,1300000,649000,611000,2022
11435, Jamaica, NY,185,110000,6200000,340000,421000,2022
11436, Jamaica, NY,59,280000,1400000,629000,623900,2022
11501, Mineola, NY,64,170000,1500000,669000,585000,2022
11507, Albertson, NY,24,384500,1800000,869000,904000,2022
11509, Atlantic Beach, NY,22,595000,11600000,1400000,0,2022
11510, Baldwin, NY,122,219000,2200000,599000,595000,2022
11514, Carle Place, NY,10,599000,899000,689000,0,2022
11516, Cedarhurst, NY,22,219000,3600000,1100000,370000,2022
11518, East Rockaway, NY,58,149000,2000000,627500,612000,2022
11520, Freeport, NY,142,111000,1100000,549000,589000,2022
11530, Garden City, NY,78,265000,4500000,992300,999000,2022
11542, Glen Cove, NY,103,135000,10000000,729000,602500,2022
11545, Glen Head, NY,81,639000,38000000,1700000,1300000,2022
11548, Greenvale, NY,5,550000,3400000,1200000,0,2022
11550, Hempstead, NY,126,115000,995000,510000,450000,2022
11552, West Hempstead, NY,60,165000,2200000,600000,650000,2022
11553, Uniondale, NY,43,200000,695900,549000,585000,2022
11554, East Meadow, NY,94,350000,1400000,650000,660000,2022
11557, Hewlett, NY,61,128000,18000000,799000,259000,2022
11558, Island Park, NY,36,299000,1300000,675000,690000,2022
11559, Lawrence, NY,38,170000,8700000,759000,525000,2022
11560, Locust Valley, NY,42,535000,28500000,985000,800000,2022
11561, Long Beach, NY,205,235000,5400000,700000,600500,2022
11563, Lynbrook, NY,75,150000,929000,591500,615000,2022
11565, Malverne, NY,24,530000,900000,699000,713000,2022
11566, Merrick, NY,121,299900,2200000,789500,682500,2022
11568, Old Westbury, NY,48,750000,15000000,2800000,0,2022
11570, Rockville Centre, NY,58,199900,2500000,699000,695000,2022
11572, Oceanside, NY,116,279000,1900000,650000,672000,2022
11575, Roosevelt, NY,37,185000,700000,549000,560000,2022
11576, Roslyn, NY,49,338900,15900000,1500000,1500000,2022
11577, Roslyn Heights, NY,33,235000,2100000,1200000,925000,2022
11579, Sea Cliff, NY,21,599000,1300000,899000,0,2022
11580, Valley Stream, NY,122,204000,2200000,625000,640000,2022
11581, Valley Stream, NY,62,165000,2400000,698800,679000,2022
11590, Westbury, NY,139,139900,2500000,650000,681000,2022
11596, Williston Park, NY,19,419000,2800000,849000,890000,2022
11598, Woodmere, NY,51,179000,5500000,1100000,960000,2022
11691, Far Rockaway, NY,83,90000,1300000,598500,740000,2022
11692, Arverne, NY,48,130000,3300000,634000,0,2022
11693, Far Rockaway, NY,62,50000,1200000,569500,599000,2022
11694, Rockaway Park, NY,70,209000,6500000,765000,780000,2022
11701, Amityville, NY,89,49900,1800000,500000,540000,2022
11702, Babylon, NY,54,350000,4500000,607500,669500,2022
11703, North Babylon, NY,59,179000,729900,540000,530000,2022
11704, West Babylon, NY,94,200000,2400000,530000,530000,2022
11705, Bayport, NY,28,340000,4500000,659000,655000,2022
11706, Bay Shore, NY,149,65000,2700000,500000,475000,2022
11709, Bayville, NY,26,215000,2900000,672000,0,2022
11710, Bellmore, NY,105,279000,2500000,675000,712500,2022
11713, Bellport, NY,29,120000,9000000,475000,527500,2022
11714, Bethpage, NY,59,180000,1400000,629900,563500,2022
11715, Blue Point, NY,15,399900,899000,592500,620000,2022
11716, Bohemia, NY,34,115000,1000000,539000,529000,2022
11717, Brentwood, NY,91,140000,760000,490000,508800,2022
11718, Brightwaters, NY,11,574900,1500000,734000,0,2022
11719, Brookhaven, NY,21,250000,1900000,599900,0,2022
11720, Centereach, NY,110,20000,950000,489000,475000,2022
11721, Centerport, NY,26,579000,2400000,775000,656000,2022
11722, Central Islip, NY,101,100000,899000,449000,436500,2022
11724, Cold Spring Harbor, NY,30,649000,11500000,1300000,0,2022
11725, Commack, NY,97,379000,1500000,650000,656500,2022
11726, Copiague, NY,43,150000,949900,499000,487500,2022
11727, Coram, NY,116,100000,670000,400000,417500,2022
11729, Deer Park, NY,73,339000,800000,549900,600000,2022
11730, East Islip, NY,33,235000,2500000,574500,579000,2022
11731, East Northport, NY,70,299000,2500000,674800,660000,2022
11732, East Norwich, NY,12,599000,6800000,825000,0,2022
11733, East Setauket, NY,78,185000,9000000,677000,675500,2022
11735, Farmingdale, NY,99,199000,1700000,575000,600000,2022
11738, Farmingville, NY,52,199900,925000,510000,550000,2022
11740, Greenlawn, NY,21,529000,1300000,749000,812500,2022
11741, Holbrook, NY,74,50000,900000,522500,525500,2022
11742, Holtsville, NY,52,175000,895000,480000,462500,2022
11743, Huntington, NY,163,75000,7000000,799000,720000,2022
11746, Huntington Station, NY,205,159000,3500000,699000,725000,2022
11747, Melville, NY,62,195000,2700000,775000,700000,2022
11749, Islandia, NY,23,219000,939000,467500,472500,2022
11751, Islip, NY,47,215000,6000000,499500,535000,2022
11752, Islip Terrace, NY,19,399000,849000,540000,550000,2022
11753, Jericho, NY,56,699000,5500000,1100000,970000,2022
11754, Kings Park, NY,56,180000,1400000,639000,670000,2022
11755, Lake Grove, NY,38,295000,925000,598000,525000,2022
11756, Levittown, NY,127,340000,1300000,599000,605000,2022
11757, Lindenhurst, NY,150,155000,1200000,539000,540000,2022
11758, Massapequa, NY,142,200000,2500000,679500,630000,2022
11762, Massapequa Park, NY,62,439000,1400000,650000,725000,2022
11763, Medford, NY,120,78000,1000000,459000,473500,2022
11764, Miller Place, NY,56,139000,1400000,589000,630000,2022
11765, Mill Neck, NY,18,799000,25000000,12500000,0,2022
11766, Mount Sinai, NY,59,250000,3000000,649000,637500,2022
11767, Nesconset, NY,59,350000,1200000,600000,637500,2022
11768, Northport, NY,128,225000,4700000,899000,915000,2022
11769, Oakdale, NY,37,173900,2400000,549000,435000,2022
11771, Oyster Bay, NY,77,290000,12500000,1400000,875000,2022
11772, Patchogue, NY,167,99000,3000000,475000,460000,2022
11776, Port Jefferson Station, NY,89,30000,3000000,485000,472500,2022
11777, Port Jefferson, NY,60,175000,15500000,664500,607000,2022
11778, Rocky Point, NY,62,100000,2500000,399000,414500,2022
11779, Ronkonkoma, NY,101,25000,1200000,499000,535000,2022
11780, St. James, NY,86,319000,20000000,700000,775000,2022
11782, Sayville, NY,70,175000,3800000,549000,701500,2022
11783, Seaford, NY,45,229000,1200000,629000,687500,2022
11784, Selden, NY,76,155000,846000,455000,482000,2022
11786, Shoreham, NY,25,450000,2100000,649900,727500,2022
11787, Smithtown, NY,124,175000,2000000,650000,650000,2022
11788, Hauppauge, NY,47,170000,1600000,625000,620000,2022
11789, Sound Beach, NY,49,59000,659000,409900,418000,2022
11790, Stony Brook, NY,51,230000,7900000,599000,590000,2022
11791, Syosset, NY,120,585000,28900000,977500,962500,2022
11792, Wading River, NY,54,69900,2000000,725000,605000,2022
11793, Wantagh, NY,94,299000,1700000,677000,690000,2022
11795, West Islip, NY,78,249000,6000000,634500,680500,2022
11796, West Sayville, NY,15,220000,675000,600000,0,2022
11797, Woodbury, NY,36,175000,3200000,1300000,1100000,2022
11798, Wyandanch, NY,63,20000,840000,449000,419000,2022
11803, Plainview, NY,118,469000,2500000,788900,825000,2022
11804, Old Bethpage, NY,14,499000,1600000,750000,875000,2022
11901, Riverhead, NY,105,60000,5500000,569500,500000,2022
11933, Calverton, NY,65,59900,5800000,599000,457000,2022
11934, Center Moriches, NY,55,110000,5500000,697000,595000,2022
11935, Cutchogue, NY,35,200000,7800000,1500000,1200000,2022
11937, East Hampton, NY,326,275000,65000000,2400000,2600000,2022
11939, East Marion, NY,21,449000,3800000,1200000,0,2022
11940, East Moriches, NY,43,120000,6500000,779900,550000,2022
11941, Eastport, NY,27,75000,2500000,719000,0,2022
11942, East Quogue, NY,73,225000,13900000,1300000,1400000,2022
11944, Greenport, NY,32,200000,3300000,1200000,725000,2022
11946, Hampton Bays, NY,133,200000,11000000,900000,725000,2022
11948, Laurel, NY,9,599000,3600000,960000,0,2022
11949, Manorville, NY,88,75000,2500000,520000,720000,2022
11950, Mastic, NY,94,25000,869000,390000,437000,2022
11951, Mastic Beach, NY,137,29000,583000,330000,365000,2022
11952, Mattituck, NY,40,339000,5000000,1300000,1100000,2022
11953, Middle Island, NY,89,139000,5200000,379900,427500,2022
11954, Montauk, NY,89,399000,29500000,2400000,2900000,2022
11955, Moriches, NY,9,129000,825000,499800,512500,2022
11957, Orient, NY,18,925000,7500000,2300000,0,2022
11958, Peconic, NY,7,279000,15000000,1000000,0,2022
11961, Ridge, NY,119,125000,797500,434900,437500,2022
11963, Sag Harbor, NY,152,640000,18500000,3000000,2200000,2022
11967, Shirley, NY,158,19500,779000,419900,440000,2022
11968, Southampton, NY,249,600000,150000000,2900000,2800000,2022
11971, Southold, NY,40,450000,7800000,1300000,995000,2022
11976, Water Mill, NY,134,999000,60000000,6000000,8100000,2022
11977, Westhampton, NY,51,439000,22000000,1400000,1400000,2022
11978, Westhampton Beach, NY,91,52000,21500000,1900000,2400000,2022
11980, Yaphank, NY,33,63700,1200000,449500,420600,2022
12009, Altamont, NY,42,67000,1200000,366000,540000,2022
12010, Amsterdam, NY,177,1000,949000,235000,249900,2022
12015, Athens, NY,80,5000,1800000,450000,0,2022
12017, Austerlitz, NY,33,55000,3200000,362500,0,2022
12018, Averill Park, NY,53,49500,1400000,330000,255000,2022
12019, Ballston Lake, NY,135,99000,2500000,449000,410000,2022
12020, Ballston Spa, NY,238,55000,4600000,349000,320000,2022
12022, Berlin, NY,4,102000,499900,195000,0,2022
12023, Berne, NY,19,45000,995000,385000,0,2022
12025, Broadalbin, NY,42,20000,1600000,250000,310000,2022
12027, Burnt Hills, NY,24,159900,650000,329900,288300,2022
12028, Buskirk, NY,6,35000,760000,275000,0,2022
12029, Canaan, NY,28,49000,2000000,350000,0,2022
12032, Caroga Lake, NY,34,12500,2000000,188500,0,2022
